assignment_key,evaluator_id,phase_id,split_id,source_id,work_id,assignment_order,assignment_state
agreement|giovanni|SRC-0045,giovanni,agreement,AGR-C,SRC-0045,W0939,4,assigned
agreement|giovanni|SRC-0010,giovanni,agreement,AGR-C,SRC-0010,W0210,5,assigned
agreement|giuseppe|SRC-0034,giuseppe,agreement,AGR-B,SRC-0034,W0722,1,assigned
agreement|giuseppe|SRC-0030,giuseppe,agreement,AGR-B,SRC-0030,W0607,2,assigned
agreement|giuseppe|SRC-0015,giuseppe,agreement,AGR-B,SRC-0015,W0338,3,assigned
agreement|giuseppe|SRC-0028,giuseppe,agreement,AGR-B,SRC-0028,W0590,4,assigned
agreement|giuseppe|SRC-0044,giuseppe,agreement,AGR-B,SRC-0044,W0937,5,assigned
agreement|thiago|SRC-0049,thiago,agreement,AGR-A,SRC-0049,W1016,1,assigned
agreement|thiago|SRC-0050,thiago,agreement,AGR-A,SRC-0050,W1036,2,assigned
agreement|thiago|SRC-0018,thiago,agreement,AGR-A,SRC-0018,W0415,3,assigned
agreement|thiago|SRC-0031,thiago,agreement,AGR-A,SRC-0031,W0628,4,assigned
agreement|thiago|SRC-0042,thiago,agreement,AGR-A,SRC-0042,W0926,5,assigned
agreement|vaclav|SRC-0034,vaclav,agreement,AGR-B,SRC-0034,W0722,1,assigned
agreement|vaclav|SRC-0030,vaclav,agreement,AGR-B,SRC-0030,W0607,2,assigned
agreement|vaclav|SRC-0015,vaclav,agreement,AGR-B,SRC-0015,W0338,3,assigned
agreement|vaclav|SRC-0028,vaclav,agreement,AGR-B,SRC-0028,W0590,4,assigned
agreement|vaclav|SRC-0044,vaclav,agreement,AGR-B,SRC-0044,W0937,5,assigned
individual|alessandro|SRC-0007,alessandro,individual,IND-3,SRC-0007,W0180,1,assigned
individual|alessandro|SRC-0006,alessandro,individual,IND-3,SRC-0006,W0176,2,assigned
individual|alessandro|SRC-0043,alessandro,individual,IND-3,SRC-0043,W0934,3,assigned
individual|alessandro|SRC-0003,alessandro,individual,IND-3,SRC-0003,W0060,4,assigned
individual|alessandro|SRC-0012,alessandro,individual,IND-3,SRC-0012,W0328,5,assigned
individual|alessandro|SRC-0019,alessandro,individual,IND-3,SRC-0019,W0428,6,assigned
individual|alessandro|SRC-0005,alessandro,individual,IND-3,SRC-0005,W0090,7,assigned
individual|giovanni|SRC-0021,giovanni,individual,IND-5,SRC-0021,W0463,1,assigned
individual|giovanni|SRC-0039,giovanni,individual,IND-5,SRC-0039,W0880,2,assigned
individual|giovanni|SRC-0022,giovanni,individual,IND-5,SRC-0022,W0464,3,assigned
individual|giovanni|SRC-0016,giovanni,individual,IND-5,SRC-0016,W0368,4,assigned
individual|giovanni|SRC-0029,giovanni,individual,IND-5,SRC-0029,W0597,5,assigned
individual|giovanni|SRC-0020,giovanni,individual,IND-5,SRC-0020,W0448,6,assigned
individual|giuseppe|SRC-0026,giuseppe,individual,IND-2,SRC-0026,W0525,1,assigned
individual|giuseppe|SRC-0036,giuseppe,individual,IND-2,SRC-0036,W0842,2,assigned
individual|giuseppe|SRC-0048,giuseppe,individual,IND-2,SRC-0048,W0973,3,assigned
individual|giuseppe|SRC-0035,giuseppe,individual,IND-2,SRC-0035,W0841,4,assigned
individual|giuseppe|SRC-0033,giuseppe,individual,IND-2,SRC-0033,W0713,5,assigned
individual|giuseppe|SRC-0001,giuseppe,individual,IND-2,SRC-0001,W0013,6,assigned
individual|giuseppe|SRC-0017,giuseppe,individual,IND-2,SRC-0017,W0386,7,assigned
individual|vaclav|SRC-0023,vaclav,individual,IND-4,SRC-0023,W0508,1,assigned
individual|vaclav|SRC-0040,vaclav,individual,IND-4,SRC-0040,W0893,2,assigned
individual|vaclav|SRC-0025,vaclav,individual,IND-4,SRC-0025,W0521,3,assigned
individual|vaclav|SRC-0046,vaclav,individual,IND-4,SRC-0046,W0944,4,assigned
individual|vaclav|SRC-0041,vaclav,individual,IND-4,SRC-0041,W0925,5,assigned
individual|vaclav|SRC-0027,vaclav,individual,IND-4,SRC-0027,W0546,6,assigned
individual|thiago|SRC-0008,thiago,individual,IND-1,SRC-0008,W0186,1,reserved
individual|francesca|SRC-0008,francesca,individual,IND-1,SRC-0008,W0186,1,reserved
individual|thiago|SRC-0024,thiago,individual,IND-1,SRC-0024,W0518,2,reserved
individual|francesca|SRC-0024,francesca,individual,IND-1,SRC-0024,W0518,2,reserved
individual|thiago|SRC-0037,thiago,individual,IND-1,SRC-0037,W0849,3,reserved
individual|francesca|SRC-0037,francesca,individual,IND-1,SRC-0037,W0849,3,reserved
individual|thiago|SRC-0032,thiago,individual,IND-1,SRC-0032,W0693,4,reserved
individual|francesca|SRC-0032,francesca,individual,IND-1,SRC-0032,W0693,4,reserved
individual|thiago|SRC-0011,thiago,individual,IND-1,SRC-0011,W0221,5,reserved
individual|francesca|SRC-0011,francesca,individual,IND-1,SRC-0011,W0221,5,reserved
individual|thiago|SRC-0038,thiago,individual,IND-1,SRC-0038,W0876,6,reserved
individual|francesca|SRC-0038,francesca,individual,IND-1,SRC-0038,W0876,6,reserved
individual|thiago|SRC-0002,thiago,individual,IND-1,SRC-0002,W0050,7,reserved
individual|francesca|SRC-0002,francesca,individual,IND-1,SRC-0002,W0050,7,reserved
